model,label,direction,transition_index,duration_ms
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,0,37.07815590314567
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,2,24.987946031615138
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,4,12.954889913089573
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,6,25.357407052069902
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,8,13.120695017278194
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,10,13.380312011577189
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,12,12.414106051437557
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,14,12.302674003876746
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,16,12.228637933731079
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,P → D,18,12.54663395229727
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,1,267.2080249758437
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,3,244.26944798324257
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,5,263.165298034437
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,7,220.71343404240906
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,9,221.8193239532411
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,11,189.02555597014725
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,13,213.5427719913423
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,15,224.07937794923782
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,17,266.81598904542625
OLMoE-1B-7B-0924-Instruct,OLMoE-1B-7B,D → P,19,271.9260490266606
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,0,13.007648056373
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,2,25.001005036756396
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,4,12.123835040256381
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,6,12.910877936519682
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,8,23.53048394434154
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,10,12.634081998839974
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,12,19.79966601356864
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,14,12.275023036636412
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,16,13.180086971260607
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,P → D,18,13.700164970941842
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,1,561.700229998678
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,3,569.8528080247343
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,5,633.5430729668587
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,7,641.0532579757273
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,9,523.6872109817341
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,11,580.306492978707
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,13,595.0590329011902
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,15,619.7242330526933
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,17,624.1920000175014
DeepSeek-V2-Lite-Chat,DeepSeek-V2-Lite,D → P,19,586.1630080034956
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,0,37.22727706190199
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,2,35.449023940600455
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,4,25.540387025102973
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,6,12.699979008175433
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,8,46.73474107403308
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,10,38.82338595576584
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,12,36.190466955304146
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,14,12.773448950611055
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,16,48.798786010593176
Qwen3-30B-A3B,Qwen3-30B-A3B,P → D,18,12.89225509390235
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,1,755.8468589559197
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,3,657.4269919656217
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,5,758.8385019917041
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,7,641.2801060359925
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,9,755.9451820561662
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,11,792.7796890726313
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,13,779.8768889624625
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,15,613.974581938237
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,17,790.6160959973931
Qwen3-30B-A3B,Qwen3-30B-A3B,D → P,19,793.0012099677697
